@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R2-3,11,20-22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute srv_serror_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,0,0,0.13,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.13,0,normal
tcp,OTH,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.01,0,normal
tcp,OTH,0,0,0.01,0,normal
tcp,OTH,0,0,0.07,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.12,0,normal
tcp,OTH,0,0,0.14,0,normal
tcp,OTH,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.12,0,normal
tcp,OTH,0,0,0,0,normal
tcp,OTH,0,0,0.1,0,normal
tcp,OTH,0,0,0.15,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.01,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.1,0,normal
tcp,OTH,0,0,0.13,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.08,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.04,0,normal
tcp,OTH,0,0,0.06,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.23,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.17,0,normal
tcp,S2,0.24,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.08,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0,0,normal
tcp,OTH,0,0,0.11,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,S3,0.44,0,0,0,normal
tcp,OTH,0,0,0,0,normal
tcp,OTH,0,0,0.15,0,normal
tcp,OTH,0,0,0.02,0,normal
tcp,OTH,0,0,0.2,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.15,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.02,0,normal
tcp,OTH,0,0,0.16,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.11,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.12,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.02,0,normal
tcp,SF,0,0,0,0,normal
tcp,S1,0.38,0,0,0,normal
tcp,OTH,0,0,0.02,0,normal
tcp,OTH,0,0,0.08,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.06,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.07,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0,0,normal
tcp,OTH,0,0,0.02,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.02,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.12,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
tcp,OTH,0,0,0.06,0,normal
tcp,OTH,0,0,0.13,0,normal
tcp,OTH,0,0,0.16,0,normal
tcp,OTH,0,0,0.13,0,normal
tcp,SF,0,0,0,0,normal
tcp,SF,0,0,0,0,normal
