@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-V-R2-4,9,16-17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,OTH,60,95,0,42,udpFlood
udp,OTH,60,112,0,33,udpFlood
udp,OTH,60,141,0,26,udpFlood
udp,OTH,60,99,0,41,udpFlood
udp,OTH,60,110,0,34,udpFlood
udp,OTH,60,143,0,33,udpFlood
udp,OTH,60,160,0,33,udpFlood
udp,OTH,60,85,0,40,udpFlood
udp,OTH,60,141,0,34,udpFlood
udp,OTH,60,109,0,34,udpFlood
udp,OTH,60,137,0,33,udpFlood
udp,OTH,60,12,0,12,udpFlood
udp,OTH,60,136,0,10,udpFlood
udp,OTH,60,138,0,21,udpFlood
udp,OTH,60,149,0,33,udpFlood
udp,OTH,60,114,0,34,udpFlood
udp,OTH,60,153,0,33,udpFlood
udp,OTH,60,114,0,34,udpFlood
udp,OTH,60,145,0,33,udpFlood
udp,OTH,60,121,0,33,udpFlood
udp,OTH,60,150,0,33,udpFlood
udp,OTH,60,106,0,34,udpFlood
udp,OTH,60,120,0,33,udpFlood
udp,OTH,60,29,0,26,udpFlood
udp,OTH,60,116,0,33,udpFlood
udp,OTH,60,84,0,41,udpFlood
udp,OTH,60,86,0,42,udpFlood
udp,OTH,60,102,0,33,udpFlood
udp,OTH,60,78,0,34,udpFlood
udp,OTH,60,69,0,27,udpFlood
udp,OTH,60,3,0,3,udpFlood
udp,OTH,60,14,0,14,udpFlood
udp,OTH,60,107,0,33,udpFlood
udp,OTH,60,165,0,33,udpFlood
udp,OTH,60,112,0,34,udpFlood
udp,OTH,60,106,0,34,udpFlood
udp,OTH,60,110,0,34,udpFlood
udp,OTH,60,23,0,23,udpFlood
udp,OTH,60,102,0,33,udpFlood
udp,OTH,60,131,0,33,udpFlood
udp,OTH,60,125,0,33,udpFlood
udp,OTH,60,26,0,26,udpFlood
udp,OTH,60,77,0,33,udpFlood
udp,OTH,60,109,0,33,udpFlood
udp,OTH,60,118,0,33,udpFlood
udp,OTH,60,100,0,34,udpFlood
udp,OTH,60,117,0,33,udpFlood
udp,OTH,60,138,0,12,udpFlood
udp,OTH,60,160,0,33,udpFlood
udp,OTH,60,121,0,33,udpFlood
udp,OTH,60,55,0,24,udpFlood
udp,OTH,60,125,0,33,udpFlood
udp,OTH,60,46,0,21,udpFlood
udp,OTH,60,107,0,38,udpFlood
udp,OTH,60,108,0,34,udpFlood
udp,OTH,60,21,0,21,udpFlood
udp,OTH,60,114,0,33,udpFlood
udp,OTH,60,143,0,33,udpFlood
udp,OTH,60,112,0,34,udpFlood
udp,OTH,60,159,0,33,udpFlood
udp,OTH,60,145,0,33,udpFlood
udp,OTH,60,85,0,40,udpFlood
udp,OTH,60,5,0,5,udpFlood
udp,OTH,60,121,0,33,udpFlood
udp,OTH,60,141,0,33,udpFlood
udp,OTH,60,109,0,33,udpFlood
udp,OTH,60,156,0,33,udpFlood
udp,OTH,60,159,0,33,udpFlood
udp,OTH,60,114,0,33,udpFlood
udp,OTH,60,84,0,40,udpFlood
udp,OTH,60,121,0,33,udpFlood
udp,OTH,60,153,0,33,udpFlood
udp,OTH,60,85,0,42,udpFlood
udp,OTH,60,153,0,33,udpFlood
udp,OTH,60,103,0,34,udpFlood
udp,OTH,60,164,0,33,udpFlood
udp,OTH,60,139,0,20,udpFlood
udp,OTH,60,1,0,1,udpFlood
udp,OTH,60,104,0,34,udpFlood
udp,OTH,60,141,0,34,udpFlood
udp,OTH,60,138,0,16,udpFlood
udp,OTH,60,141,0,21,udpFlood
udp,OTH,60,141,0,33,udpFlood
udp,OTH,60,144,0,33,udpFlood
udp,OTH,60,112,0,33,udpFlood
udp,OTH,60,138,0,12,udpFlood
udp,OTH,60,111,0,34,udpFlood
udp,OTH,60,114,0,33,udpFlood
udp,OTH,60,123,0,33,udpFlood
udp,OTH,60,130,0,33,udpFlood
udp,OTH,60,114,0,33,udpFlood
udp,OTH,60,90,0,42,udpFlood
udp,OTH,60,137,0,20,udpFlood
udp,OTH,60,105,0,33,udpFlood
udp,OTH,60,92,0,42,udpFlood
udp,OTH,60,107,0,33,udpFlood
udp,OTH,60,113,0,34,udpFlood
udp,OTH,60,117,0,33,udpFlood
udp,OTH,60,112,0,34,udpFlood
udp,OTH,60,111,0,34,udpFlood
udp,OTH,60,145,0,33,udpFlood
udp,OTH,60,91,0,42,udpFlood
udp,OTH,60,141,0,23,udpFlood
udp,OTH,60,99,0,42,udpFlood
udp,OTH,60,109,0,33,udpFlood
udp,OTH,60,108,0,33,udpFlood
udp,OTH,60,100,0,42,udpFlood
udp,OTH,60,78,0,43,udpFlood
udp,OTH,60,103,0,33,udpFlood
udp,OTH,60,108,0,40,udpFlood
udp,OTH,60,135,0,18,udpFlood
udp,OTH,60,125,0,33,udpFlood
udp,OTH,60,82,0,40,udpFlood
udp,OTH,60,108,0,33,udpFlood
udp,OTH,60,52,0,24,udpFlood
udp,OTH,60,142,0,33,udpFlood
udp,OTH,60,33,0,30,udpFlood
udp,OTH,60,27,0,27,udpFlood
udp,OTH,60,161,0,33,udpFlood
udp,OTH,60,162,0,33,udpFlood
udp,OTH,60,110,0,33,udpFlood
udp,OTH,60,108,0,34,udpFlood
udp,OTH,60,139,0,17,udpFlood
udp,OTH,60,119,0,35,udpFlood
udp,OTH,60,108,0,34,udpFlood
udp,OTH,60,151,0,33,udpFlood
udp,OTH,60,102,0,33,udpFlood
udp,OTH,60,106,0,34,udpFlood
udp,OTH,60,82,0,42,udpFlood
udp,OTH,60,153,0,33,udpFlood
udp,OTH,60,142,0,33,udpFlood
udp,OTH,60,108,0,33,udpFlood
udp,OTH,60,101,0,34,udpFlood
udp,OTH,60,118,0,34,udpFlood
udp,OTH,60,103,0,33,udpFlood
udp,OTH,60,105,0,33,udpFlood
udp,OTH,60,18,0,18,udpFlood
udp,OTH,60,109,0,40,udpFlood
udp,OTH,60,151,0,33,udpFlood
udp,OTH,60,114,0,33,udpFlood
udp,OTH,60,113,0,33,udpFlood
udp,OTH,60,106,0,39,udpFlood
udp,OTH,60,121,0,33,udpFlood
udp,OTH,60,117,0,33,udpFlood
udp,OTH,60,105,0,33,udpFlood
udp,OTH,60,111,0,34,udpFlood
udp,OTH,60,41,0,36,udpFlood
udp,OTH,60,86,0,40,udpFlood
udp,OTH,60,66,0,26,udpFlood
udp,OTH,60,116,0,33,udpFlood
udp,OTH,60,6,0,6,udpFlood
udp,OTH,60,138,0,15,udpFlood
udp,OTH,60,112,0,33,udpFlood
udp,OTH,60,96,0,43,udpFlood
