% isAttack highrate:	1000
% isAttack lowrate:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,8,19,21,27-weka.filters.unsupervised.attribute.Remove'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
0,OTH,60,95,1,0.98,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,141,1,0.96,highrate
0,OTH,60,99,1,0.98,highrate
0,OTH,60,110,1,0.97,highrate
0,OTH,60,143,1,0.97,highrate
0,OTH,60,160,1,0.97,highrate
0,OTH,60,85,1,0.98,highrate
0,OTH,60,141,1,0.97,highrate
0,OTH,60,109,1,0.97,highrate
0,OTH,60,137,1,0.97,highrate
0,OTH,60,12,1,0.92,highrate
0,OTH,60,136,1,0.91,highrate
0,OTH,60,138,1,0.95,highrate
0,OTH,60,149,1,0.97,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,145,1,0.97,highrate
0,OTH,60,121,1,0.97,highrate
0,OTH,60,150,1,0.97,highrate
0,OTH,60,106,1,0.97,highrate
0,OTH,60,120,1,0.97,highrate
0,OTH,60,29,1,0.96,highrate
0,OTH,60,116,1,0.97,highrate
0,OTH,60,84,1,0.98,highrate
0,OTH,60,86,1,0.98,highrate
0,OTH,60,102,1,0.97,highrate
0,OTH,60,78,1,0.97,highrate
0,OTH,60,69,1,0.96,highrate
0,OTH,60,3,1,0.75,highrate
0,OTH,60,14,1,0.93,highrate
0,OTH,60,107,1,0.97,highrate
0,OTH,60,165,1,0.97,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,106,1,0.97,highrate
0,OTH,60,110,1,0.97,highrate
0,OTH,60,23,1,0.96,highrate
0,OTH,60,102,1,0.97,highrate
0,OTH,60,131,1,0.97,highrate
0,OTH,60,125,1,0.97,highrate
0,OTH,60,26,1,0.96,highrate
0,OTH,60,77,1,0.97,highrate
0,OTH,60,109,1,0.97,highrate
0,OTH,60,118,1,0.97,highrate
0,OTH,60,100,1,0.97,highrate
0,OTH,60,117,1,0.97,highrate
0,OTH,60,138,1,0.92,highrate
0,OTH,60,160,1,0.97,highrate
0,OTH,60,121,1,0.97,highrate
0,OTH,60,55,1,0.96,highrate
0,OTH,60,125,1,0.97,highrate
0,OTH,60,46,1,0.95,highrate
0,OTH,60,107,1,0.97,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,21,1,0.95,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,143,1,0.97,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,159,1,0.97,highrate
0,OTH,60,145,1,0.97,highrate
0,OTH,60,85,1,0.98,highrate
0,OTH,60,5,1,0.83,highrate
0,OTH,60,121,1,0.97,highrate
0,OTH,60,141,1,0.97,highrate
0,OTH,60,109,1,0.97,highrate
0,OTH,60,156,1,0.97,highrate
0,OTH,60,159,1,0.97,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,84,1,0.98,highrate
0,OTH,60,121,1,0.97,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,85,1,0.98,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,103,1,0.97,highrate
0,OTH,60,164,1,0.97,highrate
0,OTH,60,139,1,0.95,highrate
0,OTH,60,1,1,0.5,highrate
0,OTH,60,104,1,0.97,highrate
0,OTH,60,141,1,0.97,highrate
0,OTH,60,138,1,0.94,highrate
0,OTH,60,141,1,0.95,highrate
0,OTH,60,141,1,0.97,highrate
0,OTH,60,144,1,0.97,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,138,1,0.92,highrate
0,OTH,60,111,1,0.97,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,123,1,0.97,highrate
0,OTH,60,130,1,0.97,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,90,1,0.98,highrate
0,OTH,60,137,1,0.95,highrate
0,OTH,60,105,1,0.97,highrate
0,OTH,60,92,1,0.98,highrate
0,OTH,60,107,1,0.97,highrate
0,OTH,60,113,1,0.97,highrate
0,OTH,60,117,1,0.97,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,111,1,0.97,highrate
0,OTH,60,145,1,0.97,highrate
0,OTH,60,91,1,0.98,highrate
0,OTH,60,141,1,0.96,highrate
0,OTH,60,99,1,0.98,highrate
0,OTH,60,109,1,0.97,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,100,1,0.98,highrate
0,OTH,60,78,1,0.98,highrate
0,OTH,60,103,1,0.97,highrate
0,OTH,60,108,1,0.98,highrate
0,OTH,60,135,1,0.95,highrate
0,OTH,60,125,1,0.97,highrate
0,OTH,60,82,1,0.98,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,52,1,0.96,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,33,1,0.97,highrate
0,OTH,60,27,1,0.96,highrate
0,OTH,60,161,1,0.97,highrate
0,OTH,60,162,1,0.97,highrate
0,OTH,60,110,1,0.97,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,139,1,0.94,highrate
0,OTH,60,119,1,0.97,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,151,1,0.97,highrate
0,OTH,60,102,1,0.97,highrate
0,OTH,60,106,1,0.97,highrate
0,OTH,60,82,1,0.98,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,101,1,0.97,highrate
0,OTH,60,118,1,0.97,highrate
0,OTH,60,103,1,0.97,highrate
0,OTH,60,105,1,0.97,highrate
0,OTH,60,18,1,0.95,highrate
0,OTH,60,109,1,0.98,highrate
0,OTH,60,151,1,0.97,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,113,1,0.97,highrate
0,OTH,60,106,1,0.97,highrate
0,OTH,60,121,1,0.97,highrate
0,OTH,60,117,1,0.97,highrate
0,OTH,60,105,1,0.97,highrate
0,OTH,60,111,1,0.97,highrate
0,OTH,60,41,1,0.97,highrate
0,OTH,60,86,1,0.98,highrate
0,OTH,60,66,1,0.96,highrate
0,OTH,60,116,1,0.97,highrate
0,OTH,60,6,1,0.86,highrate
0,OTH,60,138,1,0.94,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,96,1,0.98,highrate
0,OTH,60,128,1,0.97,highrate
0,OTH,60,116,1,0.97,highrate
0,OTH,60,136,1,0.97,highrate
0,OTH,60,160,1,0.97,highrate
0,OTH,60,141,1,0.97,highrate
0,OTH,60,131,1,0.97,highrate
0,OTH,60,130,1,0.97,highrate
0,OTH,60,115,1,0.97,highrate
0,OTH,60,105,1,0.97,highrate
0,OTH,60,130,1,0.97,highrate
0,OTH,60,97,1,0.98,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,2,1,0.67,highrate
0,OTH,60,125,1,0.97,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,137,1,0.92,highrate
0,OTH,60,120,1,0.97,highrate
0,OTH,60,141,1,0.96,highrate
0,OTH,60,37,1,0.97,highrate
0,OTH,60,72,1,0.97,highrate
0,OTH,60,61,1,0.96,highrate
0,OTH,60,104,1,0.97,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,101,1,0.98,highrate
0,OTH,60,110,1,0.97,highrate
0,OTH,60,34,1,0.97,highrate
0,OTH,60,135,1,0.97,highrate
0,OTH,60,105,1,0.98,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,159,1,0.97,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,115,1,0.97,highrate
0,OTH,60,141,1,0.96,highrate
0,OTH,60,38,1,0.97,highrate
0,OTH,60,15,1,0.94,highrate
0,OTH,60,35,1,0.97,highrate
0,OTH,60,113,1,0.97,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,162,1,0.97,highrate
0,OTH,60,0,0,0,highrate
0,OTH,60,115,1,0.97,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,146,1,0.97,highrate
0,OTH,60,43,1,0.97,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,82,1,0.97,highrate
0,OTH,60,105,1,0.97,highrate
0,OTH,60,158,1,0.97,highrate
0,OTH,60,125,1,0.97,highrate
0,OTH,60,110,1,0.97,highrate
0,OTH,60,84,1,0.98,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,140,1,0.97,highrate
0,OTH,60,119,1,0.97,highrate
0,OTH,60,45,1,0.96,highrate
0,OTH,60,93,1,0.98,highrate
0,OTH,60,47,1,0.96,highrate
0,OTH,60,113,1,0.97,highrate
0,OTH,60,118,1,0.97,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,146,1,0.97,highrate
0,OTH,60,143,1,0.97,highrate
0,OTH,60,113,1,0.97,highrate
0,OTH,60,131,1,0.97,highrate
0,OTH,60,145,1,0.97,highrate
0,OTH,60,152,1,0.97,highrate
0,OTH,60,7,1,0.88,highrate
0,OTH,60,117,1,0.97,highrate
0,OTH,60,80,1,0.98,highrate
0,OTH,60,125,1,0.97,highrate
0,OTH,60,20,1,0.95,highrate
0,OTH,60,138,1,0.95,highrate
0,OTH,60,141,1,0.96,highrate
0,OTH,60,103,1,0.97,highrate
0,OTH,60,138,1,0.97,highrate
0,OTH,60,109,1,0.97,highrate
0,OTH,60,16,1,0.94,highrate
0,OTH,60,102,1,0.97,highrate
0,OTH,60,81,1,0.98,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,40,1,0.97,highrate
0,OTH,60,140,1,0.95,highrate
0,OTH,60,87,1,0.98,highrate
0,OTH,60,145,1,0.97,highrate
0,OTH,60,80,1,0.98,highrate
0,OTH,60,70,1,0.97,highrate
0,OTH,60,134,1,0.97,highrate
0,OTH,60,129,1,0.97,highrate
0,OTH,60,126,1,0.97,highrate
0,OTH,60,103,1,0.98,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,141,1,0.97,highrate
0,OTH,60,141,1,0.97,highrate
0,OTH,60,65,1,0.96,highrate
0,OTH,60,131,1,0.97,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,137,1,0.92,highrate
0,OTH,60,64,1,0.96,highrate
0,OTH,60,42,1,0.97,highrate
0,OTH,60,141,1,0.97,highrate
0,OTH,60,32,1,0.97,highrate
0,OTH,60,24,1,0.96,highrate
0,OTH,60,143,1,0.97,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,151,1,0.97,highrate
0,OTH,60,54,1,0.96,highrate
0,OTH,60,49,1,0.95,highrate
0,OTH,60,146,1,0.97,highrate
0,OTH,60,117,1,0.97,highrate
0,OTH,60,110,1,0.97,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,133,1,0.97,highrate
0,OTH,60,110,1,0.97,highrate
0,OTH,60,8,1,0.89,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,79,1,0.98,highrate
0,OTH,60,125,1,0.97,highrate
0,OTH,60,125,1,0.97,highrate
0,OTH,60,154,1,0.97,highrate
0,OTH,60,107,1,0.97,highrate
0,OTH,60,106,1,0.97,highrate
0,OTH,60,98,1,0.98,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,109,1,0.97,highrate
0,OTH,60,93,1,0.98,highrate
0,OTH,60,138,1,0.92,highrate
0,OTH,60,131,1,0.97,highrate
0,OTH,60,148,1,0.97,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,13,1,0.93,highrate
0,OTH,60,113,1,0.97,highrate
0,OTH,60,109,1,0.97,highrate
0,OTH,60,141,1,0.96,highrate
0,OTH,60,102,1,0.98,highrate
0,OTH,60,138,1,0.97,highrate
0,OTH,60,166,1,0.97,highrate
0,OTH,60,10,1,0.91,highrate
0,OTH,60,138,1,0.93,highrate
0,OTH,60,87,1,0.98,highrate
0,OTH,60,87,1,0.98,highrate
0,OTH,60,104,1,0.98,highrate
0,OTH,60,117,1,0.97,highrate
0,OTH,60,86,1,0.98,highrate
0,OTH,60,86,1,0.98,highrate
0,OTH,60,91,1,0.98,highrate
0,OTH,60,137,1,0.97,highrate
0,OTH,60,82,1,0.98,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,109,1,0.97,highrate
0,OTH,60,136,1,0.97,highrate
0,OTH,60,121,1,0.97,highrate
0,OTH,60,44,1,0.97,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,71,1,0.97,highrate
0,OTH,60,145,1,0.97,highrate
0,OTH,60,76,1,0.97,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,110,1,0.97,highrate
0,OTH,60,81,1,0.97,highrate
0,OTH,60,143,1,0.97,highrate
0,OTH,60,141,1,0.97,highrate
0,OTH,60,117,1,0.97,highrate
0,OTH,60,145,1,0.97,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,141,1,0.97,highrate
0,OTH,60,70,1,0.97,highrate
0,OTH,60,86,1,0.98,highrate
0,OTH,60,117,1,0.97,highrate
0,OTH,60,110,1,0.97,highrate
0,OTH,60,107,1,0.97,highrate
0,OTH,60,128,1,0.97,highrate
0,OTH,60,145,1,0.97,highrate
0,OTH,60,131,1,0.97,highrate
0,OTH,60,110,1,0.97,highrate
0,OTH,60,137,1,0.97,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,145,1,0.97,highrate
0,OTH,60,160,1,0.97,highrate
0,OTH,60,138,1,0.97,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,104,1,0.97,highrate
0,OTH,60,113,1,0.97,highrate
0,OTH,60,124,1,0.97,highrate
0,OTH,60,85,1,0.98,highrate
0,OTH,60,131,1,0.97,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,117,1,0.97,highrate
0,OTH,60,87,1,0.98,highrate
0,OTH,60,155,1,0.97,highrate
0,OTH,60,17,1,0.94,highrate
0,OTH,60,141,1,0.96,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,141,1,0.97,highrate
0,OTH,60,109,1,0.97,highrate
0,OTH,60,83,1,0.98,highrate
0,OTH,60,138,1,0.93,highrate
0,OTH,60,88,1,0.98,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,75,1,0.97,highrate
0,OTH,60,109,1,0.97,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,57,1,0.96,highrate
0,OTH,60,138,1,0.95,highrate
0,OTH,60,128,1,0.97,highrate
0,OTH,60,101,1,0.97,highrate
0,OTH,60,138,1,0.97,highrate
0,OTH,60,137,1,0.97,highrate
0,OTH,60,53,1,0.96,highrate
0,OTH,60,107,1,0.97,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,62,1,0.96,highrate
0,OTH,60,85,1,0.98,highrate
0,OTH,60,127,1,0.97,highrate
0,OTH,60,132,1,0.97,highrate
0,OTH,60,160,1,0.97,highrate
0,OTH,60,160,1,0.97,highrate
0,OTH,60,89,1,0.98,highrate
0,OTH,60,163,1,0.97,highrate
0,OTH,60,107,1,0.97,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,80,1,0.97,highrate
0,OTH,60,131,1,0.97,highrate
0,OTH,60,108,1,0.97,highrate
0,OTH,60,101,1,0.97,highrate
0,OTH,60,117,1,0.97,highrate
0,OTH,60,11,1,0.92,highrate
0,OTH,60,135,1,0.97,highrate
0,OTH,60,25,1,0.96,highrate
0,OTH,60,114,1,0.97,highrate
0,OTH,60,109,1,0.97,highrate
0,OTH,60,102,1,0.97,highrate
0,OTH,60,87,1,0.98,highrate
0,OTH,60,121,1,0.97,highrate
0,OTH,60,95,1,0.98,highrate
0,OTH,60,141,1,0.96,highrate
0,OTH,60,147,1,0.97,highrate
0,OTH,60,74,1,0.97,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,50,1,0.96,highrate
0,OTH,60,141,1,0.96,highrate
0,OTH,60,130,1,0.97,highrate
0,OTH,60,56,1,0.96,highrate
0,OTH,60,160,1,0.97,highrate
0,OTH,60,105,1,0.97,highrate
0,OTH,60,117,1,0.97,highrate
0,OTH,60,98,1,0.98,highrate
0,OTH,60,109,1,0.97,highrate
0,OTH,60,117,1,0.97,highrate
0,OTH,60,113,1,0.97,highrate
0,OTH,60,110,1,0.97,highrate
0,OTH,60,153,1,0.97,highrate
0,OTH,60,104,1,0.97,highrate
0,OTH,60,100,1,0.98,highrate
0,OTH,60,112,1,0.97,highrate
0,OTH,60,89,1,0.98,highrate
0,OTH,60,107,1,0.97,highrate
0,OTH,60,111,1,0.97,highrate
0,OTH,60,111,1,0.97,highrate
0,OTH,60,51,1,0.96,highrate
0,OTH,60,122,1,0.97,highrate
0,OTH,60,125,1,0.97,highrate
0,OTH,60,104,1,0.97,highrate
0,OTH,60,160,1,0.97,highrate
0,OTH,60,19,1,0.95,highrate
0,OTH,60,122,1,0.97,highrate
0,OTH,60,110,1,0.97,highrate
0,OTH,60,110,1,0.98,highrate
0,OTH,60,94,1,0.98,highrate
0,OTH,60,161,1,0.97,highrate
0,OTH,60,138,1,0.97,highrate
0,OTH,60,111,1,0.97,highrate
0,OTH,60,105,1,0.97,highrate
0,OTH,60,88,1,0.98,highrate
0,OTH,60,142,1,0.97,highrate
0,OTH,60,110,1,0.97,highrate
0,S3,374,114,1,0,highrate
0,OTH,60,143,1,0.97,highrate
0,OTH,66,133,0.49,0.03,highrate
0,OTH,60,67,1,0.96,highrate
0,S3,380,959,1,0,highrate
6,RSTO,446,448,1,0,highrate
1,S3,377,597,1,0,highrate
0,S3,374,13,1,0,highrate
0,S1,248,177,1,0,highrate
1,S3,386,136,1,0,highrate
0,OTH,60,133,1,0.97,highrate
0,S1,242,174,1,0,highrate
0,S3,374,123,1,0,highrate
0,S3,377,728,1,0,highrate
0,S3,377,563,1,0,highrate
1,S3,386,143,1,0,highrate
0,S3,374,149,1,0,highrate
0,S3,374,132,1,0,highrate
0,S3,374,228,1,0,highrate
0,S3,374,152,1,0,highrate
2,RSTO,446,652,1,0,highrate
0,S3,377,933,1,0,highrate
0,OTH,66,5,1,0,highrate
0,S3,374,83,1,0,highrate
0,OTH,60,180,1,0.97,highrate
0,OTH,66,319,1,0,highrate
0,OTH,60,141,1,0.96,highrate
0,S3,374,145,1,0,highrate
0,S3,374,100,1,0,highrate
3,RSTO,446,627,1,0,highrate
0,S3,377,646,1,0,highrate
0,OTH,60,174,1,0.97,highrate
0,S3,374,146,1,0,highrate
0,S3,374,157,1,0,highrate
0,S3,377,388,0.89,0,highrate
0,S3,374,79,1,0,highrate
1,S3,374,134,1,0,highrate
0,S3,380,895,1,0,highrate
0,S3,374,147,1,0,highrate
1,S3,374,158,1,0,highrate
0,S3,374,181,1,0,highrate
0,S3,386,335,1,0,highrate
0,S3,377,476,1,0,highrate
0,S3,374,134,1,0,highrate
0,S3,374,156,1,0,highrate
1,S3,377,901,1,0,highrate
0,S3,374,94,1,0,highrate
1,S3,374,171,1,0,highrate
0,S3,374,55,1,0,highrate
0,OTH,60,177,1,0.97,highrate
1,S3,380,773,1,0,highrate
0,OTH,66,29,1,0,highrate
1,S3,374,154,1,0,highrate
0,OTH,60,116,1,0.97,highrate
0,OTH,60,59,1,0.96,highrate
0,S3,374,145,1,0,highrate
0,OTH,66,203,1,0,highrate
0,OTH,60,163,1,0.97,highrate
0,S3,374,176,1,0,highrate
1,S3,377,903,1,0,highrate
0,OTH,60,177,1,0.97,highrate
0,OTH,60,105,1,0.97,highrate
1,S3,374,164,1,0,highrate
0,OTH,60,170,1,0.97,highrate
0,OTH,60,81,1,0.98,highrate
0,OTH,60,136,1,0.97,highrate
0,S3,374,137,1,0,highrate
0,S3,377,918,1,0,highrate
0,OTH,60,142,1,0.97,highrate
0,S3,380,146,1,0,highrate
0,S3,374,151,1,0,highrate
0,OTH,66,36,1,0,highrate
1,S3,374,162,1,0,highrate
1,S3,374,152,1,0,highrate
6,RSTO,446,340,1,0,highrate
0,S1,242,454,1,0,highrate
0,S3,374,306,1,0,highrate
