@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {normal,neptune,lowrate}

@data
0,tcp,S0,0,0,0,0,12,4,1,1,0,0,0.33,0.33,0,255,59,0.23,0.04,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,46,15,1,1,0,0,0.33,0.07,0,255,64,0.25,0.02,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,241,4,0,0,1,1,0.02,0.07,0,255,4,0.02,0.08,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,70,18,1,1,0,0,0.26,0.06,0,255,49,0.19,0.03,0.02,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,227,13,0,0,1,1,0.06,0.07,0,255,13,0.05,0.07,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,201,7,1,1,0,0,0.03,0.05,0,255,7,0.03,0.05,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,54,18,1,1,0,0,0.33,0.07,0,255,38,0.15,0.06,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,47,14,1,1,0,0,0.3,0.09,0,255,58,0.23,0.04,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,287,24,1,1,0,0,0.08,0.05,0,255,24,0.09,0.05,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,208,4,0,0,1,1,0.02,0.07,0,255,4,0.02,0.08,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,207,20,1,0.15,0,0,0.01,0.07,0.15,255,3,0.01,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,62,17,1,1,0,0,0.27,0.06,0,255,58,0.23,0.04,0.01,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,279,19,0,0,1,1,0.07,0.06,0,255,19,0.07,0.07,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,248,19,1,0.95,0,0,0.07,0.06,0.11,255,18,0.07,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,33,13,1,1,0,0,0.39,0.12,0,255,68,0.27,0.02,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,235,12,0,0,1,1,0.05,0.07,0,255,12,0.05,0.07,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,13,13,1,1,0,0,1,0,0,255,13,0.05,0.07,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,262,15,0,0,1,1,0.06,0.06,0,255,15,0.06,0.08,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,3,2,0.33,0.5,0.67,0.5,0.33,1,1,255,42,0.16,0.04,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,262,17,1,1,0,0,0.06,0.06,0,255,17,0.07,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,31,12,1,1,0,0,0.39,0.13,0,255,66,0.26,0.02,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,23,10,1,1,0,0,0.43,0.17,0,255,67,0.26,0.02,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,74,19,1,1,0,0,0.26,0.05,0,154,39,0.25,0.03,0.03,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,256,19,1,1,0,0,0.07,0.06,0,255,20,0.08,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,209,18,1,1,0,0,0.09,0.06,0,255,18,0.07,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,33,14,1,1,0,0,0.42,0.12,0,255,65,0.25,0.04,0,0,1,1,0,0,neptune
