% isAttack HIGH_RATE:	1705
% isAttack LOW_RATE:	2000
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4,8-9,14-16,21,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
tcp,78,26614,26614,1,0,0,0,HIGH_RATE
tcp,78,6709,6709,1,0,0,0.01,HIGH_RATE
tcp,78,15362,15362,1,0,0,0.04,HIGH_RATE
tcp,78,13497,13497,1,0,0,0.01,HIGH_RATE
tcp,78,26973,26973,1,0,0,0.03,HIGH_RATE
tcp,78,19441,19441,1,0,0,0.01,HIGH_RATE
tcp,78,10354,10354,1,0,0,0.01,HIGH_RATE
tcp,78,1687,1687,1,0,0,0.03,HIGH_RATE
tcp,78,12387,12387,1,0,0,0.01,HIGH_RATE
tcp,78,2694,2694,1,0,0,0.04,HIGH_RATE
tcp,78,11429,11429,1,0,0,0.01,HIGH_RATE
tcp,78,6191,6191,1,0,0,0.01,HIGH_RATE
tcp,78,6459,6459,1,0,0,0.03,HIGH_RATE
tcp,78,9964,9964,1,0,0,0.02,HIGH_RATE
tcp,78,24012,24012,1,0,0,0,HIGH_RATE
tcp,78,11751,11751,1,0,0,0.01,HIGH_RATE
tcp,78,19421,19421,1,0,0,0.03,HIGH_RATE
tcp,78,8182,8182,1,0,0,0,HIGH_RATE
tcp,78,21539,21539,1,0,0,0.03,HIGH_RATE
tcp,78,15378,15378,1,0,0,0.01,HIGH_RATE
tcp,78,9603,9603,1,0,0,0.03,HIGH_RATE
tcp,78,27029,27029,1,0,0,0.01,HIGH_RATE
tcp,78,17716,17716,1,0,0,0.03,HIGH_RATE
