% isAttack normal:	571
% isAttack attack:	3229
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3,17,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_host_count numeric
@attribute isAttack {normal,attack}

@data
SF,16,normal
SF,7,normal
SF,255,normal
SF,255,normal
SF,42,normal
SF,53,normal
SF,65,normal
SF,255,normal
SF,255,normal
SF,74,normal
SF,88,normal
SF,12,normal
SF,255,normal
SF,181,normal
SF,129,normal
SF,255,normal
SF,84,normal
SF,47,normal
REJ,2,normal
SF,255,normal
SF,255,normal
REJ,109,normal
REJ,73,normal
SF,255,normal
SF,255,normal
SF,166,normal
REJ,1,normal
SF,27,normal
SF,29,normal
SF,181,normal
SF,255,normal
SF,8,normal
SF,134,normal
SF,255,normal
SF,255,normal
SF,80,normal
SF,255,normal
SF,31,normal
SF,43,normal
SF,255,normal
SF,255,normal
SF,253,normal
SF,255,normal
REJ,52,normal
SF,102,normal
SF,52,normal
SF,48,normal
SF,74,normal
SF,255,normal
SF,1,normal
SF,47,normal
SF,14,normal
SF,154,normal
SF,9,normal
SF,1,normal
SF,255,normal
SF,255,normal
SF,51,normal
SF,255,normal
SF,3,normal
SF,255,normal
SF,254,normal
SF,255,normal
REJ,7,normal
SF,255,normal
SF,255,normal
SF,255,normal
SF,41,normal
SF,8,normal
SF,13,normal
SF,255,normal
SF,30,normal
SF,255,normal
SF,255,normal
SF,255,normal
SF,7,normal
REJ,1,normal
SF,255,normal
SF,51,normal
SF,255,normal
SF,255,normal
SF,255,normal
SF,34,normal
SF,1,normal
SF,34,normal
SF,19,normal
SF,255,normal
SF,255,normal
SF,42,normal
SF,108,normal
SF,72,normal
SF,181,normal
SF,6,normal
SF,255,normal
SF,255,normal
SF,255,normal
SF,41,normal
SF,66,normal
SF,150,normal
SF,198,normal
SF,255,normal
SF,91,normal
SF,65,normal
SF,9,normal
SF,255,normal
SF,255,normal
SF,67,normal
RSTO,128,normal
SF,255,normal
SF,255,normal
SF,213,normal
SF,195,normal
SF,13,normal
SF,255,normal
SF,255,normal
SF,255,normal
SF,234,normal
SF,255,normal
REJ,2,normal
SF,255,normal
SF,19,normal
SF,51,normal
SF,10,normal
SF,255,normal
SF,189,normal
SF,2,normal
SF,26,normal
SF,255,normal
SF,228,normal
SF,3,normal
SF,118,normal
REJ,2,normal
SF,8,normal
SF,15,normal
SF,75,normal
SF,255,normal
SF,255,normal
SF,3,normal
SF,150,normal
SF,39,normal
SF,81,normal
SF,46,normal
SF,71,normal
REJ,1,normal
SF,255,normal
SF,255,normal
SF,255,normal
SF,125,normal
SF,9,normal
SF,3,normal
SF,255,normal
SF,27,normal
SF,65,normal
SF,112,normal
SF,255,normal
SF,255,normal
SF,6,normal
SF,5,normal
SF,53,normal
SF,148,normal
SF,255,normal
SF,255,normal
SF,188,normal
SF,255,normal
SF,1,normal
SF,26,normal
SF,255,normal
REJ,19,normal
SF,12,normal
SF,24,normal
SF,43,normal
SF,86,normal
REJ,7,normal
SF,2,normal
SF,76,normal
SF,3,normal
SF,26,normal
SF,255,normal
SF,29,normal
SF,255,normal
SF,255,normal
REJ,65,normal
SF,3,normal
SF,255,normal
SF,1,normal
SF,88,normal
SF,10,normal
SF,20,normal
REJ,1,normal
SF,7,normal
SF,255,normal
SF,132,normal
REJ,1,normal
SF,255,normal
SF,42,normal
REJ,9,normal
REJ,76,normal
SF,255,normal
REJ,12,normal
SF,255,normal
SF,202,normal
SF,123,normal
SF,41,normal
SF,20,normal
SF,168,normal
SF,141,normal
