% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, normal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-5,8,17,21-22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
tcp,OTH,66,0,297,36,0.92,0.05,NORMAL
tcp,SF,2947,17799,1,1,0,0.99,NORMAL
tcp,OTH,60,0,33,33,0.54,0.45,NORMAL
tcp,OTH,74,0,116,32,0.97,0,NORMAL
tcp,SF,809,617,0,4,0,0.94,NORMAL
tcp,OTH,60,0,239,13,0.87,0.07,NORMAL
tcp,OTH,60,0,314,33,0.97,0,NORMAL
tcp,OTH,60,0,54,33,0.97,0,NORMAL
tcp,SF,1081,4450,0,0,0,1,NORMAL
tcp,OTH,66,0,63,35,0.95,0.03,NORMAL
tcp,OTH,60,0,145,38,0.9,0.07,NORMAL
tcp,OTH,60,0,95,12,0.92,0,NORMAL
tcp,OTH,60,0,5,31,0.67,0.31,NORMAL
tcp,OTH,66,0,79,43,0.96,0.02,NORMAL
tcp,OTH,60,0,50,30,0.94,0.03,NORMAL
tcp,OTH,60,0,138,32,0.97,0,NORMAL
tcp,OTH,60,0,47,28,0.97,0,NORMAL
tcp,OTH,60,0,131,34,0.94,0.03,NORMAL
tcp,SF,900,2670,1,1,0,0.96,NORMAL
