% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, normal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,17,21,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
tcp,OTH,297,36,0.92,NORMAL
tcp,SF,1,1,0,NORMAL
tcp,OTH,33,33,0.54,NORMAL
tcp,OTH,116,32,0.97,NORMAL
tcp,SF,0,4,0,NORMAL
tcp,OTH,239,13,0.87,NORMAL
tcp,OTH,314,33,0.97,NORMAL
tcp,OTH,54,33,0.97,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,63,35,0.95,NORMAL
tcp,OTH,145,38,0.9,NORMAL
tcp,OTH,95,12,0.92,NORMAL
tcp,OTH,5,31,0.67,NORMAL
tcp,OTH,79,43,0.96,NORMAL
tcp,OTH,50,30,0.94,NORMAL
tcp,OTH,138,32,0.97,NORMAL
tcp,OTH,47,28,0.97,NORMAL
tcp,OTH,131,34,0.94,NORMAL
tcp,SF,1,1,0,NORMAL
tcp,OTH,223,28,0.97,NORMAL
tcp,SF,1,1,0,NORMAL
tcp,OTH,2,2,0.15,NORMAL
tcp,OTH,132,33,0.97,NORMAL
tcp,OTH,486,49,0.98,NORMAL
tcp,OTH,1,1,0.03,NORMAL
tcp,OTH,172,18,0.95,NORMAL
tcp,OTH,37,39,0.85,NORMAL
tcp,OTH,43,34,0.97,NORMAL
tcp,OTH,221,48,0.98,NORMAL
tcp,OTH,3,3,0.08,NORMAL
tcp,OTH,101,37,0.97,NORMAL
tcp,OTH,3,2,0.02,NORMAL
tcp,RSTR,0,1,0,NORMAL
tcp,OTH,278,32,0.97,NORMAL
tcp,RSTO,4,4,0,NORMAL
tcp,OTH,130,33,0.97,NORMAL
tcp,OTH,54,36,0.97,NORMAL
tcp,OTH,74,12,0.86,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,61,29,0.97,NORMAL
tcp,S1,0,0,0,NORMAL
tcp,OTH,401,49,0.98,NORMAL
tcp,OTH,9,19,0.36,NORMAL
tcp,OTH,15,15,0.42,NORMAL
tcp,OTH,17,17,0.36,NORMAL
tcp,OTH,87,44,0.98,NORMAL
tcp,OTH,0,0,0,NORMAL
tcp,OTH,280,27,0.96,NORMAL
tcp,SF,1,1,0,NORMAL
tcp,OTH,454,50,0.98,NORMAL
tcp,OTH,171,17,0.94,NORMAL
tcp,OTH,76,28,0.7,NORMAL
tcp,OTH,51,40,0.93,NORMAL
tcp,OTH,314,33,0.97,NORMAL
tcp,RSTR,0,0,0,NORMAL
tcp,SF,3,3,0,NORMAL
tcp,OTH,18,37,0.8,NORMAL
tcp,OTH,68,12,0.86,NORMAL
tcp,RSTR,0,0,0,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,134,7,0.88,NORMAL
tcp,OTH,68,39,0.97,NORMAL
tcp,RSTR,0,0,0,NORMAL
tcp,OTH,0,0,0,NORMAL
tcp,OTH,1,5,0.45,NORMAL
tcp,OTH,57,36,0.97,NORMAL
tcp,OTH,85,38,0.95,NORMAL
tcp,OTH,160,38,0.97,NORMAL
tcp,OTH,27,27,0.77,NORMAL
tcp,OTH,69,16,0.94,NORMAL
tcp,OTH,292,31,0.97,NORMAL
tcp,OTH,364,49,0.98,NORMAL
tcp,OTH,45,40,0.98,NORMAL
tcp,OTH,162,35,0.92,NORMAL
tcp,OTH,0,5,0,NORMAL
tcp,OTH,254,17,0.94,NORMAL
tcp,RSTO,0,0,0,NORMAL
tcp,OTH,132,26,0.96,NORMAL
tcp,SF,0,2,0,NORMAL
tcp,OTH,3,0,0,NORMAL
tcp,OTH,18,3,0.12,NORMAL
tcp,OTH,39,39,0.89,NORMAL
tcp,OTH,303,30,0.97,NORMAL
tcp,OTH,402,49,0.98,NORMAL
tcp,OTH,33,36,0.84,NORMAL
tcp,OTH,0,6,0,NORMAL
tcp,OTH,302,38,0.97,NORMAL
tcp,OTH,37,37,0.93,NORMAL
tcp,SF,0,1,0,NORMAL
tcp,OTH,1,1,0.02,NORMAL
tcp,OTH,442,48,0.98,NORMAL
tcp,OTH,161,19,0.95,NORMAL
tcp,OTH,247,26,0.93,NORMAL
tcp,OTH,136,8,0.89,NORMAL
tcp,OTH,125,7,0.88,NORMAL
tcp,S1,4,4,0,NORMAL
tcp,SF,1,3,0,NORMAL
tcp,OTH,35,35,0.85,NORMAL
tcp,OTH,211,31,0.97,NORMAL
tcp,OTH,53,14,0.82,NORMAL
tcp,RSTR,0,0,0,NORMAL
tcp,OTH,60,36,0.97,NORMAL
tcp,OTH,19,19,0.38,NORMAL
tcp,RSTO,0,0,0,NORMAL
tcp,OTH,130,37,0.97,NORMAL
tcp,OTH,9,8,0.12,NORMAL
tcp,OTH,226,28,0.9,NORMAL
tcp,OTH,44,43,0.98,NORMAL
tcp,OTH,40,12,0.27,NORMAL
tcp,OTH,2,2,0.04,NORMAL
tcp,S1,0,0,0,NORMAL
tcp,OTH,114,27,0.79,NORMAL
tcp,OTH,4,4,0.09,NORMAL
tcp,OTH,247,26,0.93,NORMAL
tcp,OTH,55,10,0.59,NORMAL
tcp,OTH,368,49,0.98,NORMAL
tcp,OTH,213,34,0.97,NORMAL
tcp,OTH,203,32,0.97,NORMAL
tcp,OTH,174,31,0.86,NORMAL
tcp,OTH,144,30,0.86,NORMAL
tcp,OTH,106,12,0.92,NORMAL
tcp,SF,2,7,0,NORMAL
tcp,OTH,21,21,0.41,NORMAL
tcp,OTH,21,37,0.95,NORMAL
tcp,OTH,239,25,0.57,NORMAL
tcp,OTH,35,35,0.61,NORMAL
tcp,OTH,24,24,0.51,NORMAL
tcp,SF,1,2,0,NORMAL
tcp,OTH,0,0,0,NORMAL
tcp,OTH,57,36,0.95,NORMAL
tcp,OTH,323,34,0.97,NORMAL
tcp,OTH,0,18,0.35,NORMAL
tcp,OTH,230,33,0.97,NORMAL
tcp,OTH,5,7,0.12,NORMAL
tcp,OTH,167,33,0.97,NORMAL
tcp,OTH,92,20,0.91,NORMAL
tcp,OTH,2,2,0.04,NORMAL
tcp,OTH,95,39,0.95,NORMAL
tcp,OTH,61,38,0.97,NORMAL
tcp,OTH,10,10,0.33,NORMAL
tcp,OTH,12,20,0.41,NORMAL
tcp,OTH,160,33,0.92,NORMAL
tcp,OTH,58,34,0.71,NORMAL
tcp,OTH,48,32,0.97,NORMAL
tcp,S1,0,0,0,NORMAL
tcp,SF,0,1,0,NORMAL
tcp,OTH,15,0,0,NORMAL
tcp,OTH,1,11,0.12,NORMAL
tcp,OTH,1,1,0.02,NORMAL
tcp,OTH,61,37,0.84,NORMAL
tcp,OTH,183,33,0.85,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,129,33,0.94,NORMAL
tcp,OTH,14,14,0.3,NORMAL
tcp,OTH,15,19,0.4,NORMAL
tcp,OTH,39,38,0.95,NORMAL
tcp,OTH,50,40,0.98,NORMAL
tcp,OTH,218,28,0.97,NORMAL
tcp,OTH,1,1,0.02,NORMAL
tcp,OTH,4,6,0.12,NORMAL
tcp,OTH,237,21,0.5,NORMAL
tcp,OTH,212,37,0.97,NORMAL
tcp,OTH,5,5,0.83,NORMAL
tcp,OTH,2,7,0,NORMAL
tcp,OTH,36,36,0.8,NORMAL
