% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-5,8,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,OTH,78,0,26614,67,tcpFlood
tcp,OTH,78,0,6709,67,tcpFlood
tcp,OTH,78,0,15362,66,tcpFlood
tcp,OTH,78,0,13497,72,tcpFlood
tcp,OTH,78,0,26973,74,tcpFlood
tcp,OTH,78,0,19441,67,tcpFlood
tcp,OTH,78,0,10354,70,tcpFlood
tcp,OTH,78,0,1687,66,tcpFlood
tcp,OTH,78,0,12387,67,tcpFlood
tcp,OTH,78,0,2694,73,tcpFlood
tcp,OTH,78,0,11429,67,tcpFlood
tcp,OTH,78,0,6191,71,tcpFlood
tcp,OTH,78,0,6459,68,tcpFlood
tcp,OTH,78,0,9964,65,tcpFlood
tcp,OTH,78,0,24012,73,tcpFlood
tcp,OTH,78,0,11751,66,tcpFlood
tcp,OTH,78,0,19421,67,tcpFlood
tcp,OTH,78,0,8182,70,tcpFlood
tcp,OTH,78,0,21539,73,tcpFlood
tcp,OTH,78,0,15378,71,tcpFlood
tcp,OTH,78,0,9603,67,tcpFlood
tcp,OTH,78,0,27029,69,tcpFlood
tcp,OTH,78,0,17716,73,tcpFlood
tcp,OTH,78,0,6462,72,tcpFlood
tcp,OTH,78,0,18365,76,tcpFlood
tcp,OTH,78,0,15913,71,tcpFlood
tcp,OTH,78,0,12043,69,tcpFlood
tcp,OTH,78,0,20550,72,tcpFlood
tcp,OTH,78,0,21063,72,tcpFlood
tcp,OTH,78,0,7943,66,tcpFlood
tcp,OTH,78,0,20418,65,tcpFlood
tcp,OTH,78,0,23890,70,tcpFlood
tcp,OTH,78,0,18517,71,tcpFlood
tcp,OTH,78,0,20628,70,tcpFlood
tcp,OTH,78,0,13547,72,tcpFlood
tcp,OTH,78,0,15723,72,tcpFlood
tcp,OTH,78,0,11764,67,tcpFlood
tcp,OTH,78,0,7522,78,tcpFlood
tcp,OTH,78,0,6800,68,tcpFlood
tcp,OTH,78,0,6957,63,tcpFlood
tcp,OTH,78,0,14149,72,tcpFlood
tcp,OTH,78,0,9115,67,tcpFlood
tcp,OTH,78,0,23758,68,tcpFlood
tcp,OTH,78,0,7674,72,tcpFlood
tcp,OTH,78,0,25586,68,tcpFlood
tcp,OTH,78,0,20382,73,tcpFlood
tcp,OTH,78,0,26780,67,tcpFlood
tcp,OTH,78,0,6460,68,tcpFlood
tcp,OTH,78,0,9876,74,tcpFlood
tcp,OTH,78,0,25663,68,tcpFlood
tcp,OTH,78,0,8758,66,tcpFlood
tcp,OTH,78,0,7526,68,tcpFlood
tcp,OTH,78,0,10535,65,tcpFlood
tcp,OTH,78,0,6357,70,tcpFlood
tcp,OTH,78,0,17580,74,tcpFlood
tcp,OTH,78,0,20025,76,tcpFlood
tcp,OTH,78,0,5511,65,tcpFlood
tcp,OTH,78,0,26975,74,tcpFlood
tcp,OTH,78,0,10156,71,tcpFlood
tcp,OTH,78,0,6438,63,tcpFlood
tcp,OTH,78,0,18955,72,tcpFlood
tcp,OTH,78,0,25498,71,tcpFlood
tcp,OTH,78,0,8936,65,tcpFlood
tcp,OTH,78,0,9990,71,tcpFlood
tcp,OTH,78,0,4639,71,tcpFlood
tcp,OTH,78,0,18574,67,tcpFlood
tcp,OTH,78,0,6485,65,tcpFlood
tcp,OTH,78,0,5551,71,tcpFlood
tcp,OTH,78,0,6542,68,tcpFlood
tcp,OTH,78,0,9812,75,tcpFlood
tcp,OTH,78,0,11918,69,tcpFlood
tcp,OTH,78,0,22074,65,tcpFlood
tcp,OTH,78,0,12978,79,tcpFlood
tcp,OTH,78,0,6873,65,tcpFlood
tcp,OTH,78,0,9864,66,tcpFlood
tcp,OTH,78,0,27022,68,tcpFlood
tcp,OTH,78,0,15661,74,tcpFlood
tcp,OTH,78,0,351,69,tcpFlood
tcp,OTH,78,0,9921,68,tcpFlood
tcp,OTH,186,0,2553,66,tcpFlood
tcp,OTH,78,0,10522,66,tcpFlood
tcp,OTH,78,0,4170,65,tcpFlood
tcp,OTH,78,0,26414,70,tcpFlood
tcp,OTH,78,0,20665,70,tcpFlood
tcp,OTH,78,0,22500,65,tcpFlood
tcp,OTH,78,0,8218,66,tcpFlood
tcp,OTH,78,0,10822,68,tcpFlood
tcp,OTH,78,0,20930,74,tcpFlood
tcp,OTH,78,0,5504,68,tcpFlood
tcp,OTH,78,0,9543,67,tcpFlood
tcp,OTH,78,0,2153,67,tcpFlood
tcp,OTH,78,0,9230,76,tcpFlood
tcp,OTH,78,0,6283,64,tcpFlood
tcp,OTH,78,0,11973,72,tcpFlood
tcp,OTH,78,0,18499,73,tcpFlood
tcp,OTH,78,0,27108,67,tcpFlood
tcp,OTH,78,0,6488,64,tcpFlood
tcp,OTH,78,0,10607,71,tcpFlood
tcp,OTH,78,0,10631,74,tcpFlood
tcp,OTH,78,0,22072,62,tcpFlood
tcp,OTH,78,0,5266,70,tcpFlood
tcp,OTH,78,0,15895,72,tcpFlood
tcp,OTH,78,0,20127,61,tcpFlood
tcp,OTH,78,0,7506,76,tcpFlood
tcp,OTH,78,0,1115,67,tcpFlood
tcp,OTH,78,0,27161,68,tcpFlood
tcp,OTH,78,0,11407,69,tcpFlood
tcp,OTH,78,0,8971,68,tcpFlood
tcp,OTH,78,0,10368,78,tcpFlood
tcp,OTH,78,0,14257,68,tcpFlood
tcp,OTH,78,0,5531,74,tcpFlood
tcp,OTH,78,0,14484,68,tcpFlood
tcp,OTH,78,0,4550,71,tcpFlood
tcp,OTH,78,0,11520,63,tcpFlood
tcp,OTH,78,0,2326,66,tcpFlood
tcp,OTH,78,0,12334,69,tcpFlood
tcp,OTH,78,0,10531,68,tcpFlood
tcp,OTH,78,0,840,68,tcpFlood
tcp,OTH,78,0,9361,72,tcpFlood
tcp,OTH,78,0,20749,70,tcpFlood
tcp,OTH,78,0,2191,68,tcpFlood
tcp,OTH,78,0,22213,72,tcpFlood
tcp,OTH,78,0,9904,67,tcpFlood
tcp,OTH,78,0,24242,70,tcpFlood
tcp,OTH,78,0,6456,67,tcpFlood
tcp,OTH,78,0,9280,71,tcpFlood
tcp,OTH,78,0,10868,68,tcpFlood
tcp,OTH,78,0,24264,73,tcpFlood
tcp,OTH,78,0,10204,71,tcpFlood
tcp,OTH,78,0,9199,63,tcpFlood
tcp,OTH,78,0,10975,71,tcpFlood
tcp,OTH,78,0,4538,67,tcpFlood
tcp,OTH,78,0,11766,70,tcpFlood
tcp,OTH,78,0,20225,73,tcpFlood
tcp,OTH,78,0,13780,77,tcpFlood
tcp,OTH,78,0,2956,71,tcpFlood
tcp,OTH,78,0,11678,67,tcpFlood
tcp,OTH,78,0,19222,72,tcpFlood
tcp,OTH,78,0,18666,65,tcpFlood
tcp,OTH,78,0,20385,67,tcpFlood
tcp,OTH,78,0,6925,65,tcpFlood
tcp,OTH,78,0,9564,66,tcpFlood
tcp,OTH,78,0,4543,61,tcpFlood
