% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,8-9,11,14,16-19,21-22,24,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,66,0,16,100,0,1,0.84,16,41,1,0.38,0.61,0,normal
2,tcp,2042,5040,6,27,0.3,1,0.78,6,21,1,0,0.71,0.33,normal
0,tcp,60,0,31,44,0,1,0.3,31,46,1,0.66,0.33,0,normal
6,tcp,272,140,2,2,0,1,0,2,2,1,0,0,0,normal
0,tcp,60,0,23,29,0,1,0.21,35,42,1,0.81,0.17,0,normal
14,tcp,1955,7769,0,15,0,0,1,0,47,0,0,1,0,normal
19,tcp,7253,9103,2,30,0,1,0.93,2,51,1,0,0.96,0,normal
0,tcp,60,0,145,146,0,1,0.01,37,37,1,0.97,0,0,normal
0,tcp,60,0,8,56,0,1,0.86,8,54,1,0.15,0.85,0,normal
0,tcp,66,0,259,259,0,1,0,35,35,1,0.97,0,0,normal
0,tcp,60,0,213,213,0,1,0,32,32,1,0.97,0,0,normal
0,tcp,60,0,291,291,0,1,0,38,38,1,0.97,0,0,normal
0,tcp,60,0,81,81,0,1,0,18,18,1,0.95,0,0,normal
0,tcp,66,0,166,168,0,1,0.01,35,35,1,0.97,0,0,normal
0,tcp,60,0,88,121,0,1,0.27,28,28,1,0.97,0,0,normal
0,tcp,60,0,312,314,0,1,0.01,42,44,1,0.93,0.05,0,normal
0,tcp,74,0,166,169,0,1,0.02,37,37,1,0.97,0,0,normal
0,tcp,78,0,2,12,0,1,0.83,2,51,1,0.04,0.96,0,normal
0,tcp,60,0,46,48,0,1,0.04,35,35,1,0.97,0,0,normal
8,tcp,1278,6134,1,104,0.22,1,0.99,1,42,1,0,0.98,0.21,normal
8,tcp,272,140,0,1,0,0,1,5,27,1,0,0.81,0,normal
0,tcp,66,0,2,2,0,1,0,2,35,1,0.06,0.94,0,normal
10,tcp,1334,4349,3,4,0,1,0.25,19,39,1,0,0.51,0,normal
0,tcp,66,0,74,75,0,1,0.01,40,41,1,0.95,0.02,0,normal
0,tcp,60,0,132,133,0,1,0.01,38,38,1,0.97,0,0,normal
0,tcp,60,0,7,71,0,1,0.9,7,44,1,0.16,0.84,0,normal
0,tcp,60,0,65,65,0,1,0,37,37,1,0.97,0,0,normal
7,tcp,254,126,0,1,0,0,1,0,65,0,0,1,0,normal
0,tcp,60,0,41,66,0,1,0.38,39,40,1,0.95,0.03,0,normal
0,tcp,82,0,376,381,0,1,0.01,50,50,1,0.98,0,0,normal
0,tcp,60,0,224,224,0,1,0,33,33,1,0.97,0,0,normal
7,tcp,1109,4259,0,1,0,0,1,0,30,0,0,1,0,normal
0,tcp,66,0,1,11,0,1,0.91,1,51,1,0.02,0.98,0,normal
0,tcp,74,0,238,268,0,1,0.11,24,42,1,0.56,0.43,0,normal
0,tcp,60,0,433,438,0,1,0.01,48,48,1,0.98,0,0,normal
2,tcp,1874,8144,1,74,0.2,1,0.99,1,40,1,0,0.97,0.15,normal
0,tcp,60,0,97,100,0,1,0.03,32,34,1,0.91,0.06,0,normal
0,tcp,60,0,349,354,0,1,0.01,49,49,1,0.98,0,0,normal
0,tcp,66,0,167,168,0,1,0.01,22,22,1,0.96,0,0,normal
3,tcp,338,280,2,2,0,1,0,4,58,1,0,0.93,0,normal
1,tcp,2848,10263,0,6,0,0,1,0,71,0,0,1,0,normal
0,tcp,100,0,0,13,0,0,1,0,52,0,0,1,0,normal
7,tcp,272,140,0,0,0,0,0,1,2,1,0,0.5,0,normal
0,tcp,60,0,121,123,0,1,0.02,9,10,1,0.82,0.1,0,normal
2,tcp,843,1196,2,3,0,1,0.33,3,19,1,0,0.84,0,normal
2,tcp,2774,20809,2,2,0,1,0,2,47,1,0,0.96,0,normal
0,tcp,60,0,311,313,0,1,0.01,39,39,1,0.97,0,0,normal
0,tcp,60,0,59,79,0,1,0.25,36,37,1,0.95,0.03,0,normal
0,tcp,60,0,98,127,0,1,0.23,18,19,1,0.9,0.05,0,normal
0,tcp,60,0,206,207,0,1,0,30,30,1,0.97,0,0,normal
0,tcp,60,0,10,15,0,1,0.33,34,40,1,0.83,0.15,0,normal
0,tcp,60,0,43,43,0,1,0,27,27,1,0.96,0,0,normal
0,tcp,112,0,9,10,0,1,0.1,38,53,1,0.7,0.28,0,normal
0,tcp,60,0,52,86,0,1,0.4,34,34,1,0.97,0,0,normal
0,tcp,60,0,12,35,0,1,0.66,12,53,1,0.22,0.77,0,normal
180,tcp,22396,135832,0,33,0.24,0,1,0,25,0,0,1,0.24,normal
0,tcp,66,0,90,105,0,1,0.14,39,40,1,0.95,0.03,0,normal
0,tcp,66,0,9,256,0,1,0.96,9,41,1,0.12,0.78,0,normal
18,tcp,3023,1568,0,28,0,0,1,0,49,0,0,1,0,normal
0,tcp,60,0,166,168,0,1,0.01,34,34,1,0.97,0,0,normal
0,tcp,60,0,463,468,0,1,0.01,50,50,1,0.98,0,0,normal
0,tcp,60,0,487,492,0,1,0.01,49,49,1,0.98,0,0,normal
0,tcp,66,0,7,8,0,1,0.12,7,45,1,0.15,0.84,0,normal
0,tcp,60,0,350,355,0,1,0.01,49,49,1,0.98,0,0,normal
