% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,17-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,OTH,16,41,normal
tcp,RSTO,6,21,normal
tcp,OTH,31,46,normal
tcp,SF,2,2,normal
tcp,OTH,35,42,normal
tcp,SF,0,47,normal
tcp,SF,2,51,normal
tcp,OTH,37,37,normal
tcp,OTH,8,54,normal
tcp,OTH,35,35,normal
tcp,OTH,32,32,normal
tcp,OTH,38,38,normal
tcp,OTH,18,18,normal
tcp,OTH,35,35,normal
tcp,OTH,28,28,normal
tcp,OTH,42,44,normal
tcp,OTH,37,37,normal
tcp,OTH,2,51,normal
tcp,OTH,35,35,normal
tcp,RSTO,1,42,normal
tcp,SF,5,27,normal
tcp,OTH,2,35,normal
tcp,SF,19,39,normal
tcp,OTH,40,41,normal
tcp,OTH,38,38,normal
tcp,OTH,7,44,normal
tcp,OTH,37,37,normal
tcp,SF,0,65,normal
tcp,OTH,39,40,normal
tcp,OTH,50,50,normal
tcp,OTH,33,33,normal
tcp,SF,0,30,normal
tcp,OTH,1,51,normal
tcp,OTH,24,42,normal
tcp,OTH,48,48,normal
tcp,RSTO,1,40,normal
tcp,OTH,32,34,normal
tcp,OTH,49,49,normal
tcp,OTH,22,22,normal
tcp,SF,4,58,normal
tcp,SF,0,71,normal
tcp,OTH,0,52,normal
tcp,SF,1,2,normal
tcp,OTH,9,10,normal
tcp,SF,3,19,normal
tcp,SF,2,47,normal
tcp,OTH,39,39,normal
tcp,OTH,36,37,normal
tcp,OTH,18,19,normal
tcp,OTH,30,30,normal
tcp,OTH,34,40,normal
tcp,OTH,27,27,normal
tcp,OTH,38,53,normal
tcp,OTH,34,34,normal
tcp,OTH,12,53,normal
tcp,S1,0,25,normal
tcp,OTH,39,40,normal
tcp,OTH,9,41,normal
tcp,SF,0,49,normal
tcp,OTH,34,34,normal
tcp,OTH,50,50,normal
tcp,OTH,49,49,normal
tcp,OTH,7,45,normal
tcp,OTH,49,49,normal
tcp,OTH,4,40,normal
tcp,OTH,24,48,normal
tcp,OTH,6,51,normal
tcp,OTH,37,40,normal
tcp,OTH,49,49,normal
tcp,OTH,36,42,normal
tcp,OTH,7,53,normal
tcp,OTH,49,49,normal
tcp,OTH,26,26,normal
tcp,OTH,33,33,normal
tcp,OTH,34,34,normal
tcp,OTH,25,25,normal
tcp,OTH,8,27,normal
tcp,RSTO,7,51,normal
tcp,OTH,36,49,normal
tcp,SF,0,56,normal
tcp,OTH,27,44,normal
tcp,OTH,33,34,normal
