% isAttack slowRead:	1333
% isAttack slowHeaders:	1333
% isAttack slowBody:	1333
@relation 'Slowrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,9,11,15,18,20,23-24,27'

@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {slowRead,slowHeaders,slowBody}

@data
RSTO,1051,1019,122,0.79,0,100,0,0.77,0.77,slowHeaders
OTH,106,0,210,0,0,50,0,0,0,slowHeaders
S1,370,0,226,0.66,0,100,0,0.53,0.53,slowHeaders
RSTO,896,1019,109,0,0,100,0,0,0,slowHeaders
OTH,60,0,643,0,0,52,0,0,0,slowHeaders
RSTO,2356,11980,504,0.44,0,95,0,0.69,0.69,slowHeaders
OTH,87,0,33,0,0,53,0,0,0,slowHeaders
S1,370,0,87,0.95,0,100,0,0.96,0.96,slowHeaders
OTH,96,0,202,0,0,50,0,0,0,slowHeaders
S1,370,0,10,0.9,0,100,0,0.11,0.11,slowHeaders
S1,222,0,429,1,0,100,0,1,1,slowHeaders
S1,370,0,377,0.4,0,100,0,1,1,slowHeaders
OTH,66,0,295,0,0,58,0,0,0,slowHeaders
OTH,122,0,109,0,0,50,0,0,0,slowHeaders
OTH,60,0,607,0,0,30,0,0,0,slowHeaders
S1,74,0,131,0.98,0,100,0,1,1,slowHeaders
RSTO,1038,953,60,0,0,84,0,0,0,slowHeaders
OTH,66,0,449,0,0,100,0,0,0,slowHeaders
S1,370,0,263,1,0,100,0,1,1,slowHeaders
RSTO,1019,953,68,0,0,86,0,0,0,slowHeaders
S1,370,0,371,0.38,0,100,0,1,1,slowHeaders
RSTO,949,953,168,0,0,100,0,0,0,slowHeaders
S1,222,0,369,1,0,100,0,1,1,slowHeaders
RSTO,1189,1024,398,0.39,0,100,0,0.64,0.64,slowHeaders
RSTO,1085,1019,149,0.65,0,100,0,0.51,0.51,slowHeaders
OTH,108,0,174,0,0,50,0,0,0,slowHeaders
S1,370,0,341,0.89,0,100,0,0.98,0.98,slowHeaders
S1,296,0,666,1,0,100,0,1,1,slowHeaders
OTH,60,0,799,0,0,51,0,0,0,slowHeaders
S1,370,0,338,0.98,0,100,0,0.97,0.97,slowHeaders
