% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,21,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
OTH,60,108,0.97,highrate
OTH,60,112,0.97,highrate
OTH,60,101,0.97,highrate
OTH,60,116,0.97,highrate
OTH,60,102,0.97,highrate
OTH,60,158,0.97,highrate
OTH,60,160,0.97,highrate
OTH,60,86,0.98,highrate
OTH,60,87,0.98,highrate
OTH,60,107,0.98,highrate
OTH,60,83,0.97,highrate
OTH,60,83,0.98,highrate
OTH,60,110,0.97,highrate
OTH,60,103,0.97,highrate
OTH,60,143,0.97,highrate
OTH,60,111,0.97,highrate
OTH,60,83,0.98,highrate
OTH,60,119,0.97,highrate
OTH,60,111,0.97,highrate
OTH,60,106,0.97,highrate
OTH,60,112,0.97,highrate
OTH,60,121,0.97,highrate
OTH,60,164,0.97,highrate
OTH,60,136,0.95,highrate
OTH,60,113,0.97,highrate
OTH,60,141,0.97,highrate
OTH,60,86,0.98,highrate
OTH,60,79,0.98,highrate
OTH,60,106,0.97,highrate
OTH,60,117,0.97,highrate
OTH,60,117,0.97,highrate
OTH,60,121,0.97,highrate
OTH,60,125,0.97,highrate
OTH,60,63,0.96,highrate
OTH,60,164,0.97,highrate
OTH,60,148,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,48,0.96,highrate
OTH,60,120,0.97,highrate
OTH,60,139,0.97,highrate
OTH,60,139,0.95,highrate
OTH,60,160,0.97,highrate
OTH,60,138,0.97,highrate
OTH,60,106,0.98,highrate
OTH,60,145,0.97,highrate
OTH,60,110,0.97,highrate
OTH,60,73,0.97,highrate
OTH,60,30,0.96,highrate
OTH,60,110,0.97,highrate
OTH,60,139,0.95,highrate
OTH,60,60,0.96,highrate
OTH,60,86,0.98,highrate
OTH,60,108,0.97,highrate
OTH,60,140,0.97,highrate
OTH,60,160,0.97,highrate
OTH,60,92,0.98,highrate
OTH,60,111,0.97,highrate
OTH,60,104,0.97,highrate
OTH,60,95,0.98,highrate
OTH,60,112,0.97,highrate
OTH,60,141,0.96,highrate
OTH,60,99,0.98,highrate
OTH,60,110,0.97,highrate
OTH,60,143,0.97,highrate
OTH,60,160,0.97,highrate
OTH,60,85,0.98,highrate
OTH,60,141,0.97,highrate
OTH,60,109,0.97,highrate
OTH,60,137,0.97,highrate
OTH,60,12,0.92,highrate
OTH,60,136,0.91,highrate
OTH,60,138,0.95,highrate
OTH,60,149,0.97,highrate
OTH,60,114,0.97,highrate
OTH,60,153,0.97,highrate
OTH,60,114,0.97,highrate
OTH,60,145,0.97,highrate
OTH,60,121,0.97,highrate
OTH,60,150,0.97,highrate
OTH,60,106,0.97,highrate
OTH,60,120,0.97,highrate
OTH,60,29,0.96,highrate
OTH,60,116,0.97,highrate
OTH,60,84,0.98,highrate
OTH,60,86,0.98,highrate
OTH,60,102,0.97,highrate
OTH,60,78,0.97,highrate
OTH,60,69,0.96,highrate
OTH,60,3,0.75,highrate
OTH,60,14,0.93,highrate
OTH,60,107,0.97,highrate
OTH,60,165,0.97,highrate
OTH,60,112,0.97,highrate
OTH,60,106,0.97,highrate
OTH,60,110,0.97,highrate
OTH,60,23,0.96,highrate
OTH,60,102,0.97,highrate
OTH,60,131,0.97,highrate
OTH,60,125,0.97,highrate
OTH,60,26,0.96,highrate
OTH,60,77,0.97,highrate
OTH,60,109,0.97,highrate
OTH,60,118,0.97,highrate
OTH,60,100,0.97,highrate
OTH,60,117,0.97,highrate
OTH,60,138,0.92,highrate
OTH,60,160,0.97,highrate
OTH,60,121,0.97,highrate
OTH,60,55,0.96,highrate
OTH,60,125,0.97,highrate
OTH,60,46,0.95,highrate
OTH,60,107,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,21,0.95,highrate
OTH,60,114,0.97,highrate
OTH,60,143,0.97,highrate
OTH,60,112,0.97,highrate
OTH,60,159,0.97,highrate
OTH,60,145,0.97,highrate
OTH,60,85,0.98,highrate
OTH,60,5,0.83,highrate
OTH,60,121,0.97,highrate
OTH,60,141,0.97,highrate
OTH,60,109,0.97,highrate
OTH,60,156,0.97,highrate
OTH,60,159,0.97,highrate
OTH,60,114,0.97,highrate
OTH,60,84,0.98,highrate
OTH,60,121,0.97,highrate
OTH,60,153,0.97,highrate
OTH,60,85,0.98,highrate
OTH,60,153,0.97,highrate
OTH,60,103,0.97,highrate
OTH,60,164,0.97,highrate
OTH,60,139,0.95,highrate
OTH,60,1,0.5,highrate
OTH,60,104,0.97,highrate
OTH,60,141,0.97,highrate
OTH,60,138,0.94,highrate
OTH,60,141,0.95,highrate
OTH,60,141,0.97,highrate
OTH,60,144,0.97,highrate
OTH,60,112,0.97,highrate
OTH,60,138,0.92,highrate
OTH,60,111,0.97,highrate
OTH,60,114,0.97,highrate
OTH,60,123,0.97,highrate
OTH,60,130,0.97,highrate
OTH,60,114,0.97,highrate
OTH,60,90,0.98,highrate
OTH,60,137,0.95,highrate
OTH,60,105,0.97,highrate
OTH,60,92,0.98,highrate
OTH,60,107,0.97,highrate
OTH,60,113,0.97,highrate
OTH,60,117,0.97,highrate
OTH,60,112,0.97,highrate
OTH,60,111,0.97,highrate
OTH,60,145,0.97,highrate
OTH,60,91,0.98,highrate
OTH,60,141,0.96,highrate
OTH,60,99,0.98,highrate
OTH,60,109,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,100,0.98,highrate
OTH,60,78,0.98,highrate
OTH,60,103,0.97,highrate
OTH,60,108,0.98,highrate
OTH,60,135,0.95,highrate
OTH,60,125,0.97,highrate
OTH,60,82,0.98,highrate
OTH,60,108,0.97,highrate
OTH,60,52,0.96,highrate
OTH,60,142,0.97,highrate
OTH,60,33,0.97,highrate
OTH,60,27,0.96,highrate
OTH,60,161,0.97,highrate
OTH,60,162,0.97,highrate
OTH,60,110,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,139,0.94,highrate
OTH,60,119,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,151,0.97,highrate
OTH,60,102,0.97,highrate
OTH,60,106,0.97,highrate
OTH,60,82,0.98,highrate
OTH,60,153,0.97,highrate
OTH,60,142,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,101,0.97,highrate
OTH,60,118,0.97,highrate
OTH,60,103,0.97,highrate
OTH,60,105,0.97,highrate
OTH,60,18,0.95,highrate
OTH,60,109,0.98,highrate
OTH,60,151,0.97,highrate
OTH,60,114,0.97,highrate
OTH,60,113,0.97,highrate
OTH,60,106,0.97,highrate
OTH,60,121,0.97,highrate
OTH,60,117,0.97,highrate
OTH,60,105,0.97,highrate
OTH,60,111,0.97,highrate
OTH,60,41,0.97,highrate
OTH,60,86,0.98,highrate
OTH,60,66,0.96,highrate
OTH,60,116,0.97,highrate
OTH,60,6,0.86,highrate
OTH,60,138,0.94,highrate
OTH,60,112,0.97,highrate
OTH,60,96,0.98,highrate
OTH,60,128,0.97,highrate
OTH,60,116,0.97,highrate
OTH,60,136,0.97,highrate
OTH,60,160,0.97,highrate
OTH,60,141,0.97,highrate
OTH,60,131,0.97,highrate
OTH,60,130,0.97,highrate
OTH,60,115,0.97,highrate
OTH,60,105,0.97,highrate
OTH,60,130,0.97,highrate
OTH,60,97,0.98,highrate
OTH,60,142,0.97,highrate
OTH,60,2,0.67,highrate
OTH,60,125,0.97,highrate
OTH,60,153,0.97,highrate
OTH,60,137,0.92,highrate
OTH,60,120,0.97,highrate
OTH,60,141,0.96,highrate
OTH,60,37,0.97,highrate
OTH,60,72,0.97,highrate
OTH,60,61,0.96,highrate
OTH,60,104,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,101,0.98,highrate
OTH,60,110,0.97,highrate
OTH,60,34,0.97,highrate
OTH,60,135,0.97,highrate
OTH,60,105,0.98,highrate
OTH,60,142,0.97,highrate
OTH,60,159,0.97,highrate
OTH,60,153,0.97,highrate
OTH,60,115,0.97,highrate
OTH,60,141,0.96,highrate
OTH,60,38,0.97,highrate
OTH,60,15,0.94,highrate
OTH,60,35,0.97,highrate
OTH,60,113,0.97,highrate
OTH,60,112,0.97,highrate
OTH,60,142,0.97,highrate
OTH,60,114,0.97,highrate
OTH,60,162,0.97,highrate
OTH,60,0,0,highrate
OTH,60,115,0.97,highrate
OTH,60,153,0.97,highrate
OTH,60,146,0.97,highrate
OTH,60,43,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,112,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,82,0.97,highrate
OTH,60,105,0.97,highrate
OTH,60,158,0.97,highrate
OTH,60,125,0.97,highrate
OTH,60,110,0.97,highrate
OTH,60,84,0.98,highrate
OTH,60,108,0.97,highrate
OTH,60,140,0.97,highrate
OTH,60,119,0.97,highrate
OTH,60,45,0.96,highrate
OTH,60,93,0.98,highrate
OTH,60,47,0.96,highrate
OTH,60,113,0.97,highrate
OTH,60,118,0.97,highrate
OTH,60,142,0.97,highrate
OTH,60,146,0.97,highrate
OTH,60,143,0.97,highrate
OTH,60,113,0.97,highrate
OTH,60,131,0.97,highrate
OTH,60,145,0.97,highrate
OTH,60,152,0.97,highrate
OTH,60,7,0.88,highrate
OTH,60,117,0.97,highrate
OTH,60,80,0.98,highrate
OTH,60,125,0.97,highrate
OTH,60,20,0.95,highrate
OTH,60,138,0.95,highrate
OTH,60,141,0.96,highrate
OTH,60,103,0.97,highrate
OTH,60,138,0.97,highrate
OTH,60,109,0.97,highrate
OTH,60,16,0.94,highrate
OTH,60,102,0.97,highrate
OTH,60,81,0.98,highrate
OTH,60,153,0.97,highrate
OTH,60,40,0.97,highrate
OTH,60,140,0.95,highrate
OTH,60,87,0.98,highrate
OTH,60,145,0.97,highrate
OTH,60,80,0.98,highrate
OTH,60,70,0.97,highrate
OTH,60,134,0.97,highrate
OTH,60,129,0.97,highrate
OTH,60,126,0.97,highrate
OTH,60,103,0.98,highrate
OTH,60,142,0.97,highrate
OTH,60,141,0.97,highrate
OTH,60,141,0.97,highrate
OTH,60,65,0.96,highrate
OTH,60,131,0.97,highrate
OTH,60,112,0.97,highrate
OTH,60,153,0.97,highrate
OTH,60,137,0.92,highrate
OTH,60,64,0.96,highrate
OTH,60,42,0.97,highrate
OTH,60,141,0.97,highrate
OTH,60,32,0.97,highrate
OTH,60,24,0.96,highrate
OTH,60,143,0.97,highrate
OTH,60,114,0.97,highrate
OTH,60,151,0.97,highrate
OTH,60,54,0.96,highrate
OTH,60,49,0.95,highrate
OTH,60,146,0.97,highrate
OTH,60,117,0.97,highrate
OTH,60,110,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,142,0.97,highrate
OTH,60,142,0.97,highrate
OTH,60,133,0.97,highrate
OTH,60,110,0.97,highrate
OTH,60,8,0.89,highrate
OTH,60,142,0.97,highrate
OTH,60,79,0.98,highrate
OTH,60,125,0.97,highrate
OTH,60,125,0.97,highrate
OTH,60,154,0.97,highrate
OTH,60,107,0.97,highrate
OTH,60,106,0.97,highrate
OTH,60,98,0.98,highrate
OTH,60,114,0.97,highrate
OTH,60,109,0.97,highrate
OTH,60,93,0.98,highrate
OTH,60,138,0.92,highrate
OTH,60,131,0.97,highrate
OTH,60,148,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,142,0.97,highrate
OTH,60,13,0.93,highrate
OTH,60,113,0.97,highrate
OTH,60,109,0.97,highrate
OTH,60,141,0.96,highrate
OTH,60,102,0.98,highrate
OTH,60,138,0.97,highrate
OTH,60,166,0.97,highrate
OTH,60,10,0.91,highrate
OTH,60,138,0.93,highrate
OTH,60,87,0.98,highrate
OTH,60,87,0.98,highrate
OTH,60,104,0.98,highrate
OTH,60,117,0.97,highrate
OTH,60,86,0.98,highrate
OTH,60,86,0.98,highrate
OTH,60,91,0.98,highrate
OTH,60,137,0.97,highrate
OTH,60,82,0.98,highrate
OTH,60,108,0.97,highrate
OTH,60,109,0.97,highrate
OTH,60,136,0.97,highrate
OTH,60,121,0.97,highrate
OTH,60,44,0.97,highrate
OTH,60,153,0.97,highrate
OTH,60,71,0.97,highrate
OTH,60,145,0.97,highrate
OTH,60,76,0.97,highrate
OTH,60,114,0.97,highrate
OTH,60,114,0.97,highrate
OTH,60,110,0.97,highrate
OTH,60,81,0.97,highrate
OTH,60,143,0.97,highrate
OTH,60,141,0.97,highrate
OTH,60,117,0.97,highrate
OTH,60,145,0.97,highrate
OTH,60,142,0.97,highrate
OTH,60,141,0.97,highrate
OTH,60,70,0.97,highrate
OTH,60,86,0.98,highrate
OTH,60,117,0.97,highrate
OTH,60,110,0.97,highrate
OTH,60,107,0.97,highrate
OTH,60,128,0.97,highrate
OTH,60,145,0.97,highrate
OTH,60,131,0.97,highrate
OTH,60,110,0.97,highrate
OTH,60,137,0.97,highrate
OTH,60,112,0.97,highrate
OTH,60,145,0.97,highrate
