% isAttack normal:	1333
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,12,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute rerror_rate numeric
@attribute dst_host_count numeric
@attribute isAttack {normal,attack}

@data
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,37,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,42,attack
udp,OTH,0,41,attack
udp,OTH,0,40,attack
udp,OTH,0,39,attack
udp,OTH,0,40,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,41,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,18,attack
udp,OTH,0,34,attack
udp,OTH,0,35,attack
udp,OTH,0,42,attack
udp,OTH,0,41,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,26,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,22,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,19,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,40,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,29,attack
udp,OTH,0,27,attack
udp,OTH,0,33,attack
udp,OTH,0,18,attack
udp,OTH,0,25,attack
udp,OTH,0,40,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,42,attack
udp,OTH,0,33,attack
udp,OTH,0,39,attack
udp,OTH,0,42,attack
udp,OTH,0,33,attack
udp,OTH,0,26,attack
udp,OTH,0,41,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,40,attack
udp,OTH,0,34,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,12,attack
udp,OTH,0,10,attack
udp,OTH,0,21,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,26,attack
udp,OTH,0,33,attack
udp,OTH,0,41,attack
udp,OTH,0,42,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,27,attack
udp,OTH,0,3,attack
udp,OTH,0,14,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,34,attack
udp,OTH,0,34,attack
udp,OTH,0,23,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,26,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,12,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,24,attack
udp,OTH,0,33,attack
udp,OTH,0,21,attack
udp,OTH,0,38,attack
udp,OTH,0,34,attack
udp,OTH,0,21,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,40,attack
udp,OTH,0,5,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,40,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,42,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,20,attack
udp,OTH,0,1,attack
udp,OTH,0,34,attack
udp,OTH,0,34,attack
udp,OTH,0,16,attack
udp,OTH,0,21,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,12,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,42,attack
udp,OTH,0,20,attack
udp,OTH,0,33,attack
udp,OTH,0,42,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,34,attack
udp,OTH,0,34,attack
udp,OTH,0,33,attack
udp,OTH,0,42,attack
udp,OTH,0,23,attack
udp,OTH,0,42,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
