% isAttack tcpFlood:	1333
% isAttack httpFlood:	1333
% isAttack udpFlood:	372
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,9,17,20,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute srv_count numeric
@attribute dst_host_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute isAttack {tcpFlood,httpFlood,udpFlood}

@data
udp,108,33,0,udpFlood
udp,112,33,0,udpFlood
udp,101,34,0,udpFlood
udp,116,37,0,udpFlood
udp,102,33,0,udpFlood
udp,158,33,0,udpFlood
udp,160,33,0,udpFlood
udp,86,42,0,udpFlood
udp,87,41,0,udpFlood
udp,107,40,0,udpFlood
udp,83,39,0,udpFlood
udp,83,40,0,udpFlood
udp,110,33,0,udpFlood
udp,103,34,0,udpFlood
udp,143,33,0,udpFlood
udp,111,33,0,udpFlood
udp,83,41,0,udpFlood
udp,119,33,0,udpFlood
udp,111,34,0,udpFlood
udp,106,33,0,udpFlood
udp,112,33,0,udpFlood
udp,121,33,0,udpFlood
udp,164,33,0,udpFlood
udp,136,18,0,udpFlood
udp,113,34,0,udpFlood
udp,141,35,0,udpFlood
udp,86,42,0,udpFlood
udp,79,41,0,udpFlood
udp,106,33,0,udpFlood
udp,117,33,0,udpFlood
udp,117,33,0,udpFlood
udp,121,33,0,udpFlood
udp,125,33,0,udpFlood
udp,63,26,0,udpFlood
udp,164,33,0,udpFlood
udp,148,33,0,udpFlood
udp,108,34,0,udpFlood
udp,48,22,0,udpFlood
udp,120,33,0,udpFlood
udp,139,33,0,udpFlood
udp,139,19,0,udpFlood
udp,160,33,0,udpFlood
udp,138,33,0,udpFlood
udp,106,40,0,udpFlood
udp,145,33,0,udpFlood
udp,110,33,0,udpFlood
udp,73,29,0,udpFlood
udp,30,27,0,udpFlood
udp,110,33,0,udpFlood
udp,139,18,0,udpFlood
udp,60,25,0,udpFlood
udp,86,40,0,udpFlood
udp,108,33,0,udpFlood
udp,140,33,0,udpFlood
udp,160,33,0,udpFlood
udp,92,42,0,udpFlood
udp,111,33,0,udpFlood
udp,104,39,0,udpFlood
udp,95,42,0,udpFlood
udp,112,33,0,udpFlood
udp,141,26,0,udpFlood
udp,99,41,0,udpFlood
udp,110,34,0,udpFlood
udp,143,33,0,udpFlood
udp,160,33,0,udpFlood
udp,85,40,0,udpFlood
udp,141,34,0,udpFlood
udp,109,34,0,udpFlood
udp,137,33,0,udpFlood
udp,12,12,0,udpFlood
udp,136,10,0,udpFlood
udp,138,21,0,udpFlood
udp,149,33,0,udpFlood
udp,114,34,0,udpFlood
udp,153,33,0,udpFlood
udp,114,34,0,udpFlood
udp,145,33,0,udpFlood
udp,121,33,0,udpFlood
udp,150,33,0,udpFlood
udp,106,34,0,udpFlood
udp,120,33,0,udpFlood
udp,29,26,0,udpFlood
udp,116,33,0,udpFlood
udp,84,41,0,udpFlood
udp,86,42,0,udpFlood
udp,102,33,0,udpFlood
udp,78,34,0,udpFlood
udp,69,27,0,udpFlood
udp,3,3,0,udpFlood
udp,14,14,0,udpFlood
udp,107,33,0,udpFlood
udp,165,33,0,udpFlood
udp,112,34,0,udpFlood
udp,106,34,0,udpFlood
udp,110,34,0,udpFlood
udp,23,23,0,udpFlood
udp,102,33,0,udpFlood
udp,131,33,0,udpFlood
udp,125,33,0,udpFlood
udp,26,26,0,udpFlood
udp,77,33,0,udpFlood
udp,109,33,0,udpFlood
udp,118,33,0,udpFlood
udp,100,34,0,udpFlood
udp,117,33,0,udpFlood
udp,138,12,0,udpFlood
udp,160,33,0,udpFlood
udp,121,33,0,udpFlood
udp,55,24,0,udpFlood
udp,125,33,0,udpFlood
udp,46,21,0,udpFlood
udp,107,38,0,udpFlood
udp,108,34,0,udpFlood
udp,21,21,0,udpFlood
udp,114,33,0,udpFlood
udp,143,33,0,udpFlood
udp,112,34,0,udpFlood
udp,159,33,0,udpFlood
udp,145,33,0,udpFlood
udp,85,40,0,udpFlood
udp,5,5,0,udpFlood
udp,121,33,0,udpFlood
udp,141,33,0,udpFlood
udp,109,33,0,udpFlood
udp,156,33,0,udpFlood
udp,159,33,0,udpFlood
udp,114,33,0,udpFlood
udp,84,40,0,udpFlood
udp,121,33,0,udpFlood
udp,153,33,0,udpFlood
udp,85,42,0,udpFlood
udp,153,33,0,udpFlood
udp,103,34,0,udpFlood
udp,164,33,0,udpFlood
udp,139,20,0,udpFlood
udp,1,1,0,udpFlood
udp,104,34,0,udpFlood
udp,141,34,0,udpFlood
udp,138,16,0,udpFlood
udp,141,21,0,udpFlood
udp,141,33,0,udpFlood
udp,144,33,0,udpFlood
udp,112,33,0,udpFlood
udp,138,12,0,udpFlood
udp,111,34,0,udpFlood
udp,114,33,0,udpFlood
udp,123,33,0,udpFlood
udp,130,33,0,udpFlood
udp,114,33,0,udpFlood
udp,90,42,0,udpFlood
udp,137,20,0,udpFlood
udp,105,33,0,udpFlood
udp,92,42,0,udpFlood
udp,107,33,0,udpFlood
udp,113,34,0,udpFlood
udp,117,33,0,udpFlood
udp,112,34,0,udpFlood
udp,111,34,0,udpFlood
udp,145,33,0,udpFlood
udp,91,42,0,udpFlood
udp,141,23,0,udpFlood
udp,99,42,0,udpFlood
udp,109,33,0,udpFlood
udp,108,33,0,udpFlood
udp,100,42,0,udpFlood
udp,78,43,0,udpFlood
udp,103,33,0,udpFlood
udp,108,40,0,udpFlood
udp,135,18,0,udpFlood
udp,125,33,0,udpFlood
udp,82,40,0,udpFlood
udp,108,33,0,udpFlood
udp,52,24,0,udpFlood
udp,142,33,0,udpFlood
udp,33,30,0,udpFlood
udp,27,27,0,udpFlood
udp,161,33,0,udpFlood
udp,162,33,0,udpFlood
udp,110,33,0,udpFlood
udp,108,34,0,udpFlood
udp,139,17,0,udpFlood
udp,119,35,0,udpFlood
udp,108,34,0,udpFlood
udp,151,33,0,udpFlood
udp,102,33,0,udpFlood
udp,106,34,0,udpFlood
udp,82,42,0,udpFlood
udp,153,33,0,udpFlood
udp,142,33,0,udpFlood
udp,108,33,0,udpFlood
udp,101,34,0,udpFlood
udp,118,34,0,udpFlood
udp,103,33,0,udpFlood
udp,105,33,0,udpFlood
udp,18,18,0,udpFlood
udp,109,40,0,udpFlood
udp,151,33,0,udpFlood
udp,114,33,0,udpFlood
udp,113,33,0,udpFlood
udp,106,39,0,udpFlood
udp,121,33,0,udpFlood
udp,117,33,0,udpFlood
udp,105,33,0,udpFlood
udp,111,34,0,udpFlood
udp,41,36,0,udpFlood
udp,86,40,0,udpFlood
udp,66,26,0,udpFlood
udp,116,33,0,udpFlood
udp,6,6,0,udpFlood
udp,138,15,0,udpFlood
udp,112,33,0,udpFlood
udp,96,43,0,udpFlood
udp,128,33,0,udpFlood
