% isAttack slowRead:	1333
% isAttack slowHeaders:	1333
% isAttack slowBody:	1333
@relation 'Slowrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,19-20,24,27'

@attribute dst_bytes numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {slowRead,slowHeaders,slowBody}

@data
1019,1,0,0.77,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.53,slowHeaders
1019,1,0,0,slowHeaders
0,1,0,0,slowHeaders
11980,1,0,0.69,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.96,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.11,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
953,1,0,0,slowHeaders
0,1,0,1,slowHeaders
953,1,0,0,slowHeaders
0,1,0,1,slowHeaders
1024,1,0,0.64,slowHeaders
1019,1,0,0.51,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.98,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.97,slowHeaders
1024,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
887,1,0,0.68,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.98,slowHeaders
0,1,0,0.98,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.63,slowHeaders
272,1,0,1,slowHeaders
0,1,0,0.57,slowHeaders
0,1,0,1,slowHeaders
887,1,0,0,slowHeaders
0,1,0,0,slowHeaders
1019,1,0,0.84,slowHeaders
206,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
1019,1,0,0,slowHeaders
0,1,0,0.86,slowHeaders
958,1,0,0,slowHeaders
0,1,0,0.98,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0.98,slowHeaders
140,1,0,1,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
887,1,0,0,slowHeaders
1024,1,0,0,slowHeaders
0,1,0,0.57,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowHeaders
1019,1,0,0.7,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0.46,slowHeaders
0,1,0,0.99,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.99,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
1019,1,0,0.28,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.98,slowHeaders
0,1,0,1,slowHeaders
1019,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
1019,1,0,0.4,slowHeaders
958,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0.7,slowHeaders
140,1,0,0.99,slowHeaders
0,1,0,0.31,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0.91,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0.99,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.4,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
140,0.99,0.01,0.98,slowHeaders
140,0.99,0.01,0.97,slowHeaders
0,1,0,0,slowHeaders
1019,1,0,0.37,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
1019,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.9,slowHeaders
0,1,0,0.77,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0.56,slowHeaders
272,1,0,1,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0.42,slowHeaders
0,1,0,1,slowHeaders
838,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
148,1,0,0.03,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.84,slowHeaders
887,1,0,0,slowHeaders
1019,1,0,0.53,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0,slowHeaders
1019,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
953,1,0,0.86,slowHeaders
0,1,0,0.3,slowHeaders
958,0.99,0.01,0,slowHeaders
0,1,0,0.97,slowHeaders
0,1,0,0.6,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.73,slowHeaders
0,1,0,1,slowHeaders
1024,1,0,0,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0.65,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.58,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0.94,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
958,0.99,0.01,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
1019,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.29,slowHeaders
0,1,0,0,slowHeaders
1019,1,0,0,slowHeaders
0,1,0,0,slowHeaders
140,0.99,0.01,0.98,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0.97,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0.43,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.83,slowHeaders
0,1,0,0.79,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.9,slowHeaders
0,1,0,0,slowHeaders
206,0.98,0.02,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.98,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
1019,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.71,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0.36,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
1019,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.97,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowHeaders
